"PreSens Measurement Studio 2","3.0.1.1413","","Recalculated with PreSens Oxygen Calculator 3.1.1.93"
"Date","Time","Channel","User","SensorID","Sensor_Name","delta_t","Time_Unit","Value","O2_Unit","Mode","Phase","Phase_Unit","Amplitude","Amplitude_Unit","Temp","Temp_Unit","Pressure","Pressure_Unit","Salinity","Salinity_Unit","Error","Cal0","Cal0_Unit","T0","T0_Unit","O2Cal2nd","O2_Unit","Cal2nd","Cal2nd_Unit","T2nd","T2nd_Unit","CalPressure","CalPressure_Unit","f1","dPhi1","dkSv1","dPhi2","dkSv2","m","Cal_Mode","SignalLEDCurrent","User_Signal_Intensity","ReferenceLEDCurrent","Reference_Amplitude","Device_Serial","FwVersion","SwVersion","Sensor_Type","BatchID","Calibration_Date","Sensor_Lot","PreSens_Calibr","Battery_Voltage","Battery_Voltage_Unit"
"03/23/2021","07:27:40","8","default","871040230","OXY_CH8","0.000","min","236.699","µmol/L","Humid","22.344","deg","126590","µV","17.332","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232682.75","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:41","8","default","871040230","OXY_CH8","0.014","min","236.599","µmol/L","Humid","22.351","deg","126582","µV","17.326","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232646.30","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:42","8","default","871040230","OXY_CH8","0.032","min","236.579","µmol/L","Humid","22.352","deg","126583","µV","17.326","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232623.95","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:43","8","default","871040230","OXY_CH8","0.048","min","236.517","µmol/L","Humid","22.353","deg","126576","µV","17.332","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232605.02","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:44","8","default","871040230","OXY_CH8","0.065","min","236.436","µmol/L","Humid","22.357","deg","126576","µV","17.332","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232597.97","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:45","8","default","871040230","OXY_CH8","0.085","min","236.478","µmol/L","Humid","22.357","deg","126585","µV","17.326","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232604.77","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:46","8","default","871040230","OXY_CH8","0.099","min","236.294","µmol/L","Humid","22.364","deg","126568","µV","17.332","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232580.48","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:47","8","default","871040230","OXY_CH8","0.115","min","236.355","µmol/L","Humid","22.361","deg","126573","µV","17.332","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232570.21","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:48","8","default","871040230","OXY_CH8","0.131","min","236.356","µmol/L","Humid","22.363","deg","126579","µV","17.326","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232575.49","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
"03/23/2021","07:27:49","8","default","871040230","OXY_CH8","0.148","min","236.254","µmol/L","Humid","22.366","deg","126574","µV","17.332","°C","983.000","hPa","35.000","pmil","0","55.580","deg","20.000","°C","100.000","%a.s.","22.350","deg","20.000","°C","962.000","hPa","0.861","-0.02617","0.00035","0","0","13.56","Humid","29.05","0","47.30","232566.93","SABD0002000014","AAV2.0.0.13","3.0.1.1413","PSt7-10","180509-025","9/13/2019 10:46:45 AM","0000-00","0","no battery","V"
